4FGL J0024.7+0349,  6.1975,  3.8321,   6.050,1.6296E-10,2.1351E-12,PowerLaw,  2.3913,  2.3799,  0.1127,fsrq,GB6 J0024+0349
4FGL J0025.2-2231,  6.3034,-22.5328,   5.430,1.0892E-10,1.6101E-12,PowerLaw,  2.5031,  2.5172, -0.0362,fsrq,PMN J0025-2228
4FGL J0025.3+6408,  6.3405, 64.1498,  13.248,8.6064E-10,9.7818E-12,PowerLaw,  2.1818,  2.1741,  0.0121,snr,Tycho
4FGL J0025.4-4838,  6.3673,-48.6386,   8.106,1.8248E-10,2.0477E-12,PowerLaw,  2.1415,  1.8440,  0.2686, , 
4FGL J0025.5-5936,  6.3772,-59.6045,   5.183,1.3584E-10,1.9236E-12,PowerLaw,  2.4660,  2.4616,  0.0622, , 
4FGL J0025.7-4801,  6.4351,-48.0191,  12.302,3.0036E-10,3.4904E-12,PowerLaw,  2.2308,  1.9641,  0.2047,bcu,SUMSS J002545-480356
4FGL J0026.1-0732,  6.5400, -7.5425,   6.559,1.5005E-10,1.7037E-12,PowerLaw,  1.9447,  1.8454,  0.0884, , 
4FGL J0026.6-4600,  6.6521,-46.0156,  10.382,2.0080E-10,2.2762E-12,PowerLaw,  1.9491,  1.9326,  0.0112,bll,1RXS J002636.3-460101
4FGL J0028.1+7505,  7.0444, 75.0962,  10.176,3.6534E-10,2.1556E-12,LogParabola,  2.1377,  1.7521,  0.4221,bcu,GB6 J0028+7506
4FGL J0028.4+2001,  7.1222, 20.0311,  19.100,6.0482E-10,8.1009E-12,PowerLaw,  2.4137,  2.3585,  0.1110,fsrq,TXS 0025+197
4FGL J0028.8-0112,  7.2174, -1.2022,   4.810,1.1190E-10,1.2577E-12,PowerLaw,  2.1476,  2.1410,  0.0057,bll,PKS 0026-014
4FGL J0028.9+3553,  7.2251, 35.8904,   8.196,2.4372E-10,3.0277E-12,PowerLaw,  2.3308,  2.3223,  0.0100,bcu,GB6 J0028+3550
4FGL J0029.0-7044,  7.2509,-70.7414,  18.460,4.6776E-10,5.4010E-12,PowerLaw,  2.2181,  2.1775,  0.0353,bll,PKS 0026-710
4FGL J0029.4+2051,  7.3665, 20.8662,   6.335,8.9077E-11,1.2641E-12,PowerLaw,  1.6567,  1.4345,  0.3038,bcu,NVSS J002928+205332
4FGL J0030.2-1647,  7.5643,-16.7975,  14.141,2.8775E-10,3.5967E-12,PowerLaw,  1.7864,  1.6412,  0.1341,bll,2MASS J00302045-1647130
4FGL J0030.3-4224,  7.5958,-42.4127,  38.767,1.0299E-09,1.5609E-11,PowerLaw,  2.5236,  2.5034,  0.0510,fsrq,PKS 0027-426
4FGL J0030.4+0451,  7.6107,  4.8592, 119.743,1.0042E-08,5.9502E-11,PLSuperExpCutoff,  2.0834,  1.7822,  0.4391,PSR,PSR J0030+0451
4FGL J0030.6-0212,  7.6558, -2.2014,  40.933,1.5312E-09,1.7152E-11,LogParabola,  2.4033,  2.2994,  0.1284,bcu,PKS B0027-024
4FGL J0030.6+0539,  7.6643,  5.6623,   4.884,1.3959E-10,4.1411E-12,PowerLaw,  2.9578,  2.9840, -0.0477, , 
4FGL J0030.9-3618,  7.7292,-36.3104,   4.278,7.8145E-11,9.1220E-13,PowerLaw,  1.8850,  1.8581,  0.0252, , 
4FGL J0031.0-2327,  7.7564,-23.4581,   8.374,2.2836E-10,1.0136E-12,LogParabola,  2.1494,  1.6079,  0.7693, , 
4FGL J0031.3+0726,  7.8300,  7.4443,   7.881,1.7946E-10,2.0625E-12,PowerLaw,  1.9156,  1.8350,  0.0867,bll,NVSS J003119+072456
